Id,Code,Name,Level,TeachingHours,TotalHours,Area
352,CS-001,Poznej Kybernetickou bezpečnost,Nezáleží na znalostech,2,2,
370,CS-002,Poznej Digitální akademii: Kyberbezpečnost,Nezáleží na znalostech,2,2,Poznej
347,CS-101,Úvod do kybernetické bezpečnosti,Úplní začátečníci,8,8,Kyberbezpečnost
99,CS-111,Základy uživatelské bezpečnosti,Úplní začátečníci,7,7,
299,CS-311,Bezpečnost koncových zařízení,Mírně pokročilí,7,8,
372,CS-102,Google Cybersecurity Certificate,Úplní začátečníci,0,160,
358,CS-222,Digitální akademie: Kyberbezpečnost,Pokročilí začátečníci,400,600,
